job_title;company;location;salary;company_rating;description;posting_date;url_info
Data Analyst;SkytreeDGTL;Indonesia;NaN;NA;"This position is suitable for anyone who are obsessed in finding hidden answers and patterns behind numbers.
RESPONSIBILITIES
You will be in charge in managing datas from primary and secondary sources.
You will be responsible in managing the organization’s analytics dashboard.
You can interpret the datas, find patterns or trends, and gain meaningful insights from it.
You must also be able to create data reports and present it to the team.
REQUIREMENTS
You can come from any educational background, as long as you have the right attitude and experience.
Fresh graduate may apply, but past exposure in data analytics is a huge plus.
You’re familiar with data analytics process; analytics tools e.g. Google Analytics, Facebook Pixel, etc; and also with Google Data Studio.
You’re good in data visualization.
You have good communication and presentation skills.
You’re a self starter and you can work in multiple projects at one time, you’re also able to work independently under high pressure.
Job Level
Staff

Work Experience
No preference

Work Mobility
Work-From-Home option";Posted7 hari yang lalu;https://id.indeed.com/rc/clk?jk=a1a6decd2b171a70&fccid=34564a28c499e25c&vjs=3
Data Analyst;Miniletics;Surabaya;Rp. 4.000.000 - Rp. 4.500.000 per bulan;NA;Location: SurabayaDepartment: DataMiniletics is a sports start-up apparel company that sells goods directly to consumers through the internet (E-Commerce). Our vision is to make our own brands to be Indonesian brands that are internationally acknowledged and recognized as not only sports brands but also household brands. We believe that putting in the sweat and progress today prepares us for tomorrow. So, we give people the gears and tools they need to reach further, go faster, be stronger, bigger change through small progress.Our Instagram: @miniletics @galeriolahragastoreAre you our next Data Analyst? In your role, you’ll be responsible for reporting on the performance of our team and assisting in utilizing data to help drive team activity and strategy.Sound like you? Here’s the role up close:WHAT YOU'LL BE DOING: Provide actionable recommendations on insights generated from our vast data sets which will help inform & optimize our team strategy.Manage master data (creation, updates, and deletion).Import, Process, and Extract insight from various data sourcesDevelop marketing dashboard, customer profile, and others that can improve the businessProvide assistance to other divisions to automate tasks and boost productivityManage data warehouse and increase its efficiencyWork with the data function to ensure maintenance, cleanliness, and readiness of key data sources.Identifying potential opportunities for new data sources that could be integrated into our current methods of work to provide additional depth of analysis. In addition, working with the data team to ensure the new data sources are in the correct format for use by the entire insight function.QUALIFICATIONS FOR GRAPHIC DESIGNER: Have min 1-2 years experience as Data AnalystBachelor's degree from an accredited university in Business or Computer science, but others are welcomeSolution driven and able to work collaboratively as part of a teamProficient in a programming language (Python)Have experience in big queries or proficient in SQL or other query languagesProficient in visualization tools (data studio/tableau/etc.) is a bonusAble to communicate insights (written, verbally, by visual)Job Type: Full-timeSalary: Rp4,000,000 - Rp4,500,000 per monthCOVID-19 considerations:This job is Work From Office. Our office uses strict healthy protocol including masks, regular hand washing, and social distancing.Experience:Data Analyst: 1 year (Preferred)programming language (Python): 1 year (Preferred)big query or proficient in SQL or other query language: 1 year (Preferred)Work Remotely:No;Posted9 hari yang lalu;https://id.indeed.com/company/Miniletics/jobs/Data-Analyst-f1f3242595b62c2c?fccid=2e26f1d99a6ac3b9&vjs=3
Center of Excellence (Data Analyst) - Specialist;Kargo Technologies;Indonesia;NaN;NA;"Job Description:
Compile data sets
Analyze data sets
Clean data sets
Create dashboards
Weekly reports
Monthly reportsRequirement:
Min. Bachelor's degree from reputable university
Advanced Ms. Office (Excel, Word, PowerPoint, etc.)
Spreadsheets skills
Presentation skills
Tech-savvy
Agile
Detail oriented
Fluent in English is a plus";Posted10 hari yang lalu;https://id.indeed.com/rc/clk?jk=34d6f44169682844&fccid=3421b985e600d4d9&vjs=3
Data Analyst (Intern);Lumina;Tangerang;NaN;NA;"Company Description
Lumina (https://lumina.mba) is a community-based recruiting and benefits platform for blue/grey collar workers in Southeast Asia. We start with helping laid-off workers to get jobs as COVID is recovering in Indonesia and getting them engaged in our community to upskill. In just a couple of months we attracted more than 50 thousand job seekers, and more than 20 thousand jobs from hundreds of companies.
Lumina's mission is to build technologies for 300 million Indonesians to find jobs and be financially better off. Join our high-performing & ambitious core team, and work directly with the founders!
Job Description
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.
Build reporting & monitoring dashboards for stakeholders to manage their daily business process
Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Qualifications
Experience using statistical computer languages (SQL, R, Python, etc.) to manipulate data and draw insights from large data sets.
Strong quantitative, mathematical, and analytical problem solving skills.
Able to convey data & insights through appropriate visualization techniques.
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.
Excellent written and verbal communication skills for coordinating across teams.
A drive to learn and master new technologies and techniques.
Students/fresh graduate majoring in STEM (Science, Technology, Engineering, Mathematics) or Statistics is a plus.
Additional Information
What is like to work at Lumina?
Lumina is, at heart, a technology company. To achieve our mission, we need strong engineers who can help solve the complex problems we face day-to-day. In building high-engagement consumer products, we must match varying user needs with great technological innovations.
We work in small, iterative sprints with a focus on experimentation to gain actionable insights and give value to our users. As a young team of engineers, we are keen on learning and improving ourselves together by living the journey of a fast-growing startup.
We strive to work in a company of warm, high energy, and inclusive people who treat each other exceptionally well. In retrospective sessions, we facilitate and encourage each other to grow in the direction of their personal mission and values. We are committed to build a healthy long-term working relationships where you can reach your full potential.
Note:At Lumina, we’re looking for people with high ownership, growth-mindset, and integrity. We encourage you to apply even if your experience doesn’t precisely match the job description. Our rigorous interview and onboarding process will help in finding what’s stand out and exceptional in yourself.";Posted7 hari yang lalu;https://id.indeed.com/rc/clk?jk=03bbeafeb04dab62&fccid=5ae0a3b8b1a73194&vjs=3
CLAIM ANALYST;AIA;Jakarta;NaN;NA;"Bring your career aspirations to life with AIA!
Responsible for providing technical medical expertise for underwriting decisions and resolution of customer enquiries and claims and managing healthcare related services provided to policy holders
• Provide professional guidance, medical advice and relevant training to product development, underwriting and claims colleagues • Develop and implement AIA's healthcare programmes • Work with medical and wellness suppliers to support AIA healthcare programmes • May manage rehabilitation cases by assessing claimant's needs, developing rehabilitation plans, and arranging relevant services [Use this profile for all healthcare related positions in addition to medical experts supporting underwriting and claim process]
Build a career with us as we help our customers and the community live healthier, longer, better lives.
You must provide all requested information, including Personal Data, to be considered for this career opportunity. Failure to provide such information may influence the processing and outcome of your application. You are responsible for ensuring that the information you submit is accurate and up-to-date.";Posted2 hari yang lalu;https://id.indeed.com/rc/clk?jk=f4c402f7ab041c1c&fccid=004041685e219574&vjs=3
Data Analyst;PT Agate International;Bandung;NaN;NA;"Administrative Requirements :
Must not currently active in school or college
Able to work full-time at Agate HQ (Bandung, Indonesia)
Requirements :
Bachelor’s Degree in STEM (Science, Technology, Engineering, Mathematics)
Familiarity with SQL and data visualization tools (e.g. Tableau, PowerBI, Data Studio, etc)
Comfortable working both independently with minimal guidance and in a team setting
Ability to use critical thinking daily to manage daily tasks while being goal-oriented
Ability to transform an ambiguous business or product problem into a well-scoped and impactful analysis; able to design simple experiments
Excellent analytical skills topped with strong communication and presentation capabilities in order to share recommendations";Posted4 hari yang lalu;https://id.indeed.com/rc/clk?jk=e5b30ea15606172b&fccid=a84d93b3d0487253&vjs=3
Analyst - Artificial Intelligence & Data - MY;Deloitte;Jakarta;NaN;4;"Analyst - Artificial Intelligence & Data - MY
Date: 25-Nov-2021
Service Line / Portfolios: Strategy, Growth & Innovation
Location:
Jakarta, ID
At Deloitte, we offer a unique and exceptional career experience to inspire and empower talents like you to make an impact that matters for our clients, people and community. Deloitte offers you a highly inclusive, collaborative workplace and unrivalled opportunities to realize your full potential. We are always looking for people with the relentless energy to push themselves further, and to find new avenues and unique ways to reach our shared goals.Work you will doThis role sits within the Artificial Intelligence & Data team of Deloitte Southeast Asia, which encompasses data, analytics and cognitive automation (CA). As a leader of this group, you will drive the growth of our CA business in the region and be responsible for the creation, sale and delivery of CA solutions: robotic process automation, intelligent character recognition, chatbots/virtual assistants and artificial intelligence.
The Artificial Intelligence & Data team leverages the power of data, analytics, robotics, science and cognitive technologies to uncover hidden relationships from vast troves of data, generate insights, and inform decision-making. Together with the Strategy practice, our Strategy & Analytics portfolio helps clients transform their business by architecting organizational intelligence programs and differentiated strategies to win in their chosen markets.
Apply emerging technologies to help our clients maximize the value of their data by generating actionable insights that provide real business outcomes.
Designing and implementing data structures to support Big Data, Analytical models and traditional BI/DW reporting solutions using technologies such as Microsoft SQL, Oracle, SAP, Cloudera, IBM Watsons, MuleSoft, Qlik Technologies or Informatica.
Designing and developing data integration using Data Governance, Data Quality, MDM and Metadata management.
Applying analytical models to predict business outcomes with tools such as DataRobot and languages like Python or R.
You will be part of a collaborative team that provides our clients with solutions that are practical as well as visionary and have an impact from the back office to the boardroom.
Demonstrated experience across a broad range of industries such as Energy and Resources, Public Sector, Financial Services, Life Sciences and Health Care, Consumer Business, Manufacturing, Telecommunications or Consumer Business.
Ability to link industry specific business requirements to BI, Analytics and Big Data solutions.
Ability to recommend BI/DW/Analytics processes, governance, organisational and platform models, tool selections, and data integration options to clients.
Project experience through all phases of the project lifecycle from strategy and advisory, scoping and planning, requirements gathering, design, development, testing, training and deployment.
Enough about us, let's talk about you
If you are someone with:
A good honors Degree, preferably at postgraduate level, in Computer Science, Software Engineering, Statistics, Mathematics or related disciplines.
Minimum 2 years of relevant experience.
Strong experience in one or more of the following programming languages: Scala, Python, or R.
Experience with one or more non-relational data stores such as Pivotal, Cloudera, Hortonworks, MapR, Oracle BDA.
Experience with one or more relational data stores using SQL, Oracle DB, Microsoft SQL Server, IBM Netezza, Teradata or MySQL.
Experience building data ingestion and transformation pipelines using Big Data technologies, including one or more of the following: Spark, Hive, Pig, Kafka, MapReduce, HBase, Sqoop, Flume or Storm.
Experience working with Agile software engineering tools and applying Agile methodologies in a pragmatic manner.
Experience working with Source Control Management tools such as Git, Subversion or Mercurial.
General knowledge of Linux/Unix based operating systems and Shell scripting.
Experience directly interfacing with business and IT stakeholders for clients.
Excellent problem solving skills, ability to think out-of-the-box, work under pressure and tight project timelines.
Drive, tenacity, client focused and results oriented.
Excellent communication and presentation skills in English.
In addition to strong client service orientation, we are also seeking talented leaders who have the capability to deliver quality solutions with superior analytical and problem solving skills. Besides excellent interpersonal and communication skills, candidates should have proven demonstration of sound business acumen, teamwork and leadership qualities. An appreciation of the consulting lifestyle and ability to travel is a pre-requisite.
Next StepsSo what are you waiting for? Join the winning team now.
Due to volume of applications, we regret only shortlisted candidates will be notified.
Requisition ID: 66903
In Indonesia, the services are provided by Imelda & Rekan and other related entities in Indonesia (""Deloitte in Indonesia""), which are affiliates of Deloitte Southeast Asia Ltd. Deloitte Southeast Asia Ltd is a member firm of Deloitte Touche Tohmatsu Limited. Deloitte in Indonesia, which is within the Deloitte Network, is the entity that is providing this Website.";Posted1 hari yang lalu;https://id.indeed.com/rc/clk?jk=653e233b4461332a&fccid=9e215d88a6b33622&vjs=3
Business Analyst;PT Azlogistik Dot Com;Surabaya;Rp. 5.000.000 - Rp. 6.000.000 per bulan;NA;Candidate must possess at least Bachelor's Degree in any field.At least 1 Year(s) of working experience in the related field is required for this position.Preferably Staff (non-management & non-supervisor) specialized in Others/Category not available or equivalent.Strong analytical skills, great attention to details, and good communication skills.Experience working in the project.Has technical ability and method modeling.Understand the project life cycle (SDLC).Able to process data with high quantity (preferably in Excel).Able to interpret business processes in writing, speaking or in flow diagrams.Able to do GAP analysis.Have knowledge in User Testing.Can maintain good relations with stakeholders.Interested in finance and accounting.Love to learn new things.Jenis Pekerjaan: Penuh Waktu, PermanenGaji: Rp5.000.000 - Rp6.000.000 per bulan;Posted17 hari yang lalu;https://id.indeed.com/company/PT-Azlogistik-Dot-Com/jobs/Business-Analyst-3fa0f3d79d8a4576?fccid=e142da50b7c79478&vjs=3
Center of Excellence (Data Analyst) - Associate;Kargo Technologies;Jakarta;NaN;NA;"Job Description:
Compile data sets
Analyze data sets
Clean data sets
Create dashboards
Weekly reports
Monthly reportsRequirement:
Min. Bachelor's degree from reputable university
Less than 1 month notice period
Advanced Ms. Office (Excel, Word, PowerPoint, etc.)
Spreadsheets skills
Presentation skills
Tech-savvy
Agile
Detail oriented
Fluent in English is a plus";Posted10 hari yang lalu;https://id.indeed.com/rc/clk?jk=ce9315fa97f4e89f&fccid=3421b985e600d4d9&vjs=3
Data Analyst;PT Commeasure Solutions Indonesia (Reddoorz);Indonesia;NaN;NA;"Requirements:Strong analytical skills and data-driven thinking
 Bachelor's Degree from related major (Computer Science, Information System, Mathematics, etc)
 Minimum 2 years experience as Data Analyst
 Skilled in operating Excel, SQL and Tableau
 Fluent in English both spoken and written
Responsible:Own and optimize P&L (RevPAR and NTR), for a given portfolio/region assigned.
 Effectively manage inventory/rooms & develop the overall pricing strategy for the region.
 Pro-actively identify and analyze peak days and shoulder days taking into consideration past performance as well as new industry trends.
 Clearly communicate strategic vision and objectives to all Sales Team Leads on how to drive revenues and improve performance.
 Proactively identify soft spot/need periods for RevPAR/CM management; work in cooperation with PM/ Sales/Marketing, as well as regional and corporate resources.
 Create and share reports and Dashboards to help in decision making.";Posted30+ hari yang lalu;https://id.indeed.com/rc/clk?jk=92c9548a739f6a59&fccid=e70587860d5ff12a&vjs=3
